index,Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,Community Board,Council District,Census Tract,log_DOF Gross Floor Area,log_Largest Property Use Type - Gross Floor Area (ft²),log_Direct GHG Emissions (Metric Tons CO2e),log_Water Intensity (All Water Sources) (gal/ft²),Borough_Queens,Borough_Staten Island
5576,6568,4044579,51203,1926,1,100,22.7,4.6,0.1,344100,3441,820715.6,234143.3,104.39,40.828498,-73.917954,4,16,18302,10.8435534,10.8435534,2.90690106,4.648133885,0,0
9758,12240,4849382,113320,1960,1,95,59.6,3.5,0,792.5,8.8,1418316.1,399650.7,101.7424207,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,11.63797095,11.63797095,5.981666705,3.794018727,1,0
3852,4403,2670041,171207,1927,1,100,44.6,5.6,0,149482.3,1494.8,3599595.4,1029524.1,23.67,40.775054,-73.960927,8,4,140,12.05062863,12.07590701,5.816217904,3.164208424,0,0
11704,14901,3417078,238368,1970,2,100,111.7,6.3,1,21285597.6,226789.9,5345401.6,1501359.2,55.9,40.595955,-74.062212,2,50,74,12.38157098,12.38181007,7.030503744,4.02356438,0,1
9516,11919,5802574,150822,1953,1,100,60.5,3.3,0.5,7577946.8,81743.9,1823401,506936.3,48.22,40.581684,-73.953833,15,48,61004,11.92385561,11.9534166,5.997695097,3.875773873,0,0
1802,2129,3429407,614127,1990,1,100,66.6,15.8,0.478642298,6299575.527,66944.70117,33211090.7,9655225.5,101.7424207,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,13.32795703,13.299401,5.583766874,3.794018727,0,0
9044,11316,3533515,138600,1926,1,100,61.2,2.7,0.5,6924457.8,73087,1327464.2,373026.8,50.39,40.604451,-73.966742,15,47,41402,11.83934737,11.83934737,5.95376268,3.919792743,0,0
6373,7679,2558902,90650,1940,1,100,77.1,3.9,0.7,5737999.9,62569.3,1247485.2,352301.6,77.74,40.860663,-73.913243,7,14,257,11.41476122,11.41476122,5.719655824,4.353369925,0,0
3092,3581,5833761,58538,1914,1,100,145.1,9.8,1.1,6497718.8,64321.8,1997330.3,574057.6,101.7424207,40.756142,-73.981245,5,4,96,10.97743139,10.97743139,5.84383423,3.794018727,0,0
7406,8925,5050269,181576,1926,1,100,62.3,9.1,0.3,5718486,57184.9,5664465.8,1660159.8,101.7424207,40.700674,-73.988171,2,33,13,12.10942958,12.11886307,5.725543966,3.794018727,0,0
5261,6144,5831773,58904,1925,1,100,163.9,8,0.7,3711667.2,40671.2,1679883.3,471378.9,53.81,40.864258,-73.928636,12,10,287,10.98366428,10.98366428,6.249975242,3.985459324,0,0
6553,7890,4479652,111270,1931,1,100,102.4,2.7,0,332648.5,3326.5,1058700,296478.2,101.7424207,40.871881,-73.886143,7,11,413,11.61971496,11.62047858,6.633976112,3.794018727,0,0
5179,6037,2801276,54378,1910,1,100,109.8,4.1,0.478642298,6299575.527,66944.70117,789829.5,224601.9,101.7424207,40.848693,-73.929354,12,10,267,10.90371494,10.90371494,5.951943789,3.794018727,0,0
10169,12769,4896923,55526,1940,1,95,91.9,4.7,0.8,4060000.2,44402.8,904985.3,258878.5,93.61,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,10.92460666,10.92460666,5.420092423,4.539137215,1,0
10913,13680,2664467,212277,1947,1,100,89.5,5.1,0.7,12938857.3,129388.6,3176452.2,912031.2,106.64,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,12.2656473,12.10071213,6.532625371,4.669458676,1,0
10040,12622,2800245,53400,1932,1,100,74.9,3.2,0.7,3711199.7,39702.9,680926,189650.6,54.03,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,10.88556602,10.97905296,5.283711214,3.989539448,1,0
3443,3954,3448548,597553,1980,1,100,83,15.3,0.1,4913103.3,49765.1,33024349.2,9585634.3,101.7424207,40.755506,-73.97098,6,4,98,13.30059826,13.34938898,5.564520407,3.794018727,0,0
10812,13563,2677893,382016,1954,1,100,84.2,5.3,0.1,2199932.6,21999.3,7150422.8,2039720.2,55.57,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,12.85321777,12.85448393,7.503344756,4.017643487,1,0
11105,13930,3086587,186800,1964,1,100,204.8,21.8,0,7290,72.9,13268743.6,3850709.5,31.74,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,12.1377938,12.08164257,7.452344445,3.457577715,1,0
9506,11905,4406998,103734,1941,1,100,68.2,2.8,0.6,6065483.9,65965.7,1004466.2,294392.2,59.98,40.576375,-73.959524,13,48,36002,11.54958521,11.54941167,5.775172471,4.094011173,0,0
